# sequenceName	alias names
chr1	AC_000158.1
chrUn_GJ058511v1	NW_003099256.1
chrUn_GJ058512v1	NW_003099257.1
chrUn_GJ058513v1	NW_003099258.1
chrUn_GJ058514v1	NW_003099259.1
chrUn_GJ058515v1	NW_003099260.1
chrUn_GJ058516v1	NW_003099261.1
chrUn_GJ058517v1	NW_003099262.1
chrUn_GJ058518v1	NW_003099263.1
chrUn_GJ058519v1	NW_003099264.1
chrUn_GJ058520v1	NW_003099265.1
chrUn_GJ058521v1	NW_003099266.1
chrUn_GJ058522v1	NW_003099267.1
chrUn_GJ058523v1	NW_003099268.1
chrUn_GJ058524v1	NW_003099269.1
chrUn_GJ058525v1	NW_003099270.1
chrUn_GJ058526v1	NW_003099271.1
chrUn_GJ058527v1	NW_003099272.1
chrUn_GJ058528v1	NW_003099273.1
chrUn_GJ058529v1	NW_003099274.1
chrUn_GJ058530v1	NW_003099275.1
chrUn_GJ058531v1	NW_003099276.1
chrUn_GJ058532v1	NW_003099277.1
chrUn_GJ058533v1	NW_003099278.1
chrUn_GJ058534v1	NW_003099279.1
chrUn_GJ058535v1	NW_003099280.1
chrUn_GJ058536v1	NW_003099281.1
chrUn_GJ058537v1	NW_003099282.1
chrUn_GJ058538v1	NW_003099283.1
chrUn_GJ058539v1	NW_003099284.1
chrUn_GJ058540v1	NW_003099285.1
chrUn_GJ058541v1	NW_003099286.1
chrUn_GJ058542v1	NW_003099287.1
chrUn_GJ058543v1	NW_003099288.1
chrUn_GJ058544v1	NW_003099289.1
chrUn_GJ058545v1	NW_003099290.1
chrUn_GJ058546v1	NW_003099291.1
chrUn_GJ058547v1	NW_003099292.1
chrUn_GJ058548v1	NW_003099293.1
chrUn_GJ058549v1	NW_003099294.1
chrUn_GJ058550v1	NW_003099295.1
chrUn_GJ058551v1	NW_003099296.1
chrUn_GJ058552v1	NW_003099297.1
chrUn_GJ058553v1	NW_003099298.1
chrUn_GJ058554v1	NW_003099299.1
chrUn_GJ058555v1	NW_003099300.1
chrUn_GJ058556v1	NW_003099301.1
chrUn_GJ058557v1	NW_003099302.1
chrUn_GJ058558v1	NW_003099303.1
chrUn_GJ058559v1	NW_003099304.1
chrUn_GJ058560v1	NW_003099305.1
chrUn_GJ058561v1	NW_003099306.1
chrUn_GJ058562v1	NW_003099307.1
chrUn_GJ058563v1	NW_003099308.1
chrUn_GJ058564v1	NW_003099309.1
chrUn_GJ058565v1	NW_003099310.1
chrUn_GJ058566v1	NW_003099311.1
chrUn_GJ058567v1	NW_003099312.1
chrUn_GJ058568v1	NW_003099313.1
chrUn_GJ058569v1	NW_003099314.1
chrUn_GJ058570v1	NW_003099315.1
chrUn_GJ058571v1	NW_003099316.1
chrUn_GJ058572v1	NW_003099317.1
chrUn_GJ058573v1	NW_003099318.1
chrUn_GJ058574v1	NW_003099319.1
chrUn_GJ058575v1	NW_003099320.1
chrUn_GJ058576v1	NW_003099321.1
chrUn_GJ058577v1	NW_003099322.1
chrUn_GJ058578v1	NW_003099323.1
chrUn_GJ058579v1	NW_003099324.1
chrUn_GJ058580v1	NW_003099325.1
chrUn_GJ058581v1	NW_003099326.1
chrUn_GJ058582v1	NW_003099327.1
chrUn_GJ058583v1	NW_003099328.1
chrUn_GJ058584v1	NW_003099329.1
chrUn_GJ058585v1	NW_003099330.1
chrUn_GJ058586v1	NW_003099331.1
chrUn_GJ058587v1	NW_003099332.1
chrUn_GJ058588v1	NW_003099333.1
chrUn_GJ058589v1	NW_003099334.1
chrUn_GJ058590v1	NW_003099335.1
chrUn_GJ058591v1	NW_003099336.1
chrUn_GJ058592v1	NW_003099337.1
chrUn_GJ058593v1	NW_003099338.1
chrUn_GJ058594v1	NW_003099339.1
chrUn_GJ058595v1	NW_003099340.1
chrUn_GJ058596v1	NW_003099341.1
chrUn_GJ058597v1	NW_003099342.1
chrUn_GJ058598v1	NW_003099343.1
chrUn_GJ058599v1	NW_003099344.1
chrUn_GJ058600v1	NW_003099345.1
chrUn_GJ058601v1	NW_003099346.1
chrUn_GJ058602v1	NW_003099347.1
chrUn_GJ058603v1	NW_003099348.1
chrUn_GJ058604v1	NW_003099349.1
chrUn_GJ058605v1	NW_003099350.1
chrUn_GJ058606v1	NW_003099351.1
chrUn_GJ058607v1	NW_003099352.1
chrUn_GJ058608v1	NW_003099353.1
chrUn_GJ058609v1	NW_003099354.1
chrUn_GJ058610v1	NW_003099355.1
chrUn_GJ058611v1	NW_003099356.1
chrUn_GJ058612v1	NW_003099357.1
chrUn_GJ058613v1	NW_003099358.1
chrUn_GJ058614v1	NW_003099359.1
chrUn_GJ058615v1	NW_003099360.1
chrUn_GJ058616v1	NW_003099361.1
chrUn_GJ058617v1	NW_003099362.1
chrUn_GJ058618v1	NW_003099363.1
chrUn_GJ058619v1	NW_003099364.1
chrUn_GJ058620v1	NW_003099365.1
chrUn_GJ058621v1	NW_003099366.1
chrUn_GJ058622v1	NW_003099367.1
chrUn_GJ058623v1	NW_003099368.1
chrUn_GJ058624v1	NW_003099369.1
chrUn_GJ058625v1	NW_003099370.1
chrUn_GJ058626v1	NW_003099371.1
chrUn_GJ058627v1	NW_003099372.1
chrUn_GJ058628v1	NW_003099373.1
chrUn_GJ058629v1	NW_003099374.1
chrUn_GJ058630v1	NW_003099375.1
chrUn_GJ058631v1	NW_003099376.1
chrUn_GJ058632v1	NW_003099377.1
chrUn_GJ058633v1	NW_003099378.1
chrUn_GJ058634v1	NW_003099379.1
chrUn_GJ058635v1	NW_003099380.1
chrUn_GJ058636v1	NW_003099381.1
chrUn_GJ058637v1	NW_003099382.1
chrUn_GJ058638v1	NW_003099383.1
chrUn_GJ058639v1	NW_003099384.1
chrUn_GJ058640v1	NW_003099385.1
chrUn_GJ058641v1	NW_003099386.1
chrUn_GJ058642v1	NW_003099387.1
chrUn_GJ058643v1	NW_003099388.1
chrUn_GJ058644v1	NW_003099389.1
chrUn_GJ058645v1	NW_003099390.1
chrUn_GJ058646v1	NW_003099391.1
chrUn_GJ058647v1	NW_003099392.1
chrUn_GJ058648v1	NW_003099393.1
chrUn_GJ058649v1	NW_003099394.1
chrUn_GJ058650v1	NW_003099395.1
chrUn_GJ058651v1	NW_003099396.1
chrUn_GJ058652v1	NW_003099397.1
chrUn_GJ058653v1	NW_003099398.1
chrUn_GJ058654v1	NW_003099399.1
chrUn_GJ058655v1	NW_003099400.1
chrUn_GJ058656v1	NW_003099401.1
chrUn_GJ058657v1	NW_003099402.1
chrUn_GJ058658v1	NW_003099403.1
chrUn_GJ058659v1	NW_003099404.1
chrUn_GJ058660v1	NW_003099405.1
chrUn_GJ058661v1	NW_003099406.1
chrUn_GJ058662v1	NW_003099407.1
chrUn_GJ058663v1	NW_003099408.1
chrUn_GJ058664v1	NW_003099409.1
chrUn_GJ058665v1	NW_003099410.1
chrUn_GJ058666v1	NW_003099411.1
chrUn_GJ058667v1	NW_003099412.1
chrUn_GJ058668v1	NW_003099413.1
chrUn_GJ058669v1	NW_003099414.1
chrUn_GJ058670v1	NW_003099415.1
chrUn_GJ058671v1	NW_003099416.1
chrUn_GJ058672v1	NW_003099417.1
chrUn_GJ058673v1	NW_003099418.1
chrUn_GJ058674v1	NW_003099419.1
chrUn_GJ058675v1	NW_003099420.1
chrUn_GJ058676v1	NW_003099421.1
chrUn_GJ058677v1	NW_003099422.1
chrUn_GJ058678v1	NW_003099423.1
chrUn_GJ058679v1	NW_003099424.1
chrUn_GJ058680v1	NW_003099425.1
chrUn_GJ058681v1	NW_003099426.1
chrUn_GJ058682v1	NW_003099427.1
chrUn_GJ058683v1	NW_003099428.1
chrUn_GJ058684v1	NW_003099429.1
chrUn_GJ058685v1	NW_003099430.1
chrUn_GJ058686v1	NW_003099431.1
chrUn_GJ058687v1	NW_003099432.1
chrUn_GJ058688v1	NW_003099433.1
chrUn_GJ058689v1	NW_003099434.1
chrUn_GJ058690v1	NW_003099435.1
chrUn_GJ058691v1	NW_003099436.1
chrUn_GJ058692v1	NW_003099437.1
chrUn_GJ058693v1	NW_003099438.1
chrUn_GJ058694v1	NW_003099439.1
chrUn_GJ058695v1	NW_003099440.1
chrUn_GJ058696v1	NW_003099441.1
chrUn_GJ058697v1	NW_003099442.1
chrUn_GJ058698v1	NW_003099443.1
chrUn_GJ058699v1	NW_003099444.1
chrUn_GJ058700v1	NW_003099445.1
chrUn_GJ058701v1	NW_003099446.1
chrUn_GJ058702v1	NW_003099447.1
chrUn_GJ058703v1	NW_003099448.1
chrUn_GJ058704v1	NW_003099449.1
chrUn_GJ058705v1	NW_003099450.1
chrUn_GJ058706v1	NW_003099451.1
chrUn_GJ058707v1	NW_003099452.1
chrUn_GJ058708v1	NW_003099453.1
chrUn_GJ058709v1	NW_003099454.1
chrUn_GJ058710v1	NW_003099455.1
chrUn_GJ058711v1	NW_003099456.1
chrUn_GJ058712v1	NW_003099457.1
chrUn_GJ058713v1	NW_003099458.1
chrUn_GJ058714v1	NW_003099459.1
chrUn_GJ058715v1	NW_003099460.1
chrUn_GJ058716v1	NW_003099461.1
chrUn_GJ058717v1	NW_003099462.1
chrUn_GJ058718v1	NW_003099463.1
chrUn_GJ058719v1	NW_003099464.1
chrUn_GJ058720v1	NW_003099465.1
chrUn_GJ058721v1	NW_003099466.1
chrUn_GJ058722v1	NW_003099467.1
chrUn_GJ058723v1	NW_003099468.1
chrUn_GJ058724v1	NW_003099469.1
chrUn_GJ058725v1	NW_003099470.1
chrUn_GJ058726v1	NW_003099471.1
chrUn_GJ058727v1	NW_003099472.1
chrUn_GJ058728v1	NW_003099473.1
chrUn_GJ058729v1	NW_003099474.1
chrUn_GJ058730v1	NW_003099475.1
chrUn_GJ058731v1	NW_003099476.1
chrUn_GJ058732v1	NW_003099477.1
chrUn_GJ058733v1	NW_003099478.1
chrUn_GJ058734v1	NW_003099479.1
chrUn_GJ058735v1	NW_003099480.1
chrUn_GJ058736v1	NW_003099481.1
chrUn_GJ058737v1	NW_003099482.1
chrUn_GJ058738v1	NW_003099483.1
chrUn_GJ058739v1	NW_003099484.1
chrUn_GJ058740v1	NW_003099485.1
chrUn_GJ058741v1	NW_003099486.1
chrUn_GJ058742v1	NW_003099487.1
chrUn_GJ058743v1	NW_003099488.1
chrUn_GJ058744v1	NW_003099489.1
chrUn_GJ058745v1	NW_003099490.1
chrUn_GJ058746v1	NW_003099491.1
chrUn_GJ058747v1	NW_003099492.1
chrUn_GJ058748v1	NW_003099493.1
chrUn_GJ058749v1	NW_003099494.1
chrUn_GJ058750v1	NW_003099495.1
chrUn_GJ058751v1	NW_003099496.1
chrUn_GJ058752v1	NW_003099497.1
chrUn_GJ058753v1	NW_003099498.1
chrUn_GJ058754v1	NW_003099499.1
chrUn_GJ058755v1	NW_003099500.1
chrUn_GJ058756v1	NW_003099501.1
chrUn_GJ058757v1	NW_003099502.1
chrUn_GJ058758v1	NW_003099503.1
chrUn_GJ058759v1	NW_003099504.1
chrUn_GJ058760v1	NW_003099505.1
chrUn_GJ058761v1	NW_003099506.1
chrUn_GJ058762v1	NW_003099507.1
chrUn_GJ058763v1	NW_003099508.1
chrUn_GJ058764v1	NW_003099509.1
chrUn_GJ058765v1	NW_003099510.1
chrUn_GJ058766v1	NW_003099511.1
chrUn_GJ058767v1	NW_003099512.1
chrUn_GJ058768v1	NW_003099513.1
chrUn_GJ058769v1	NW_003099514.1
chrUn_GJ058770v1	NW_003099515.1
chrUn_GJ058771v1	NW_003099516.1
chrUn_GJ058772v1	NW_003099517.1
chrUn_GJ058773v1	NW_003099518.1
chrUn_GJ058774v1	NW_003099519.1
chrUn_GJ058775v1	NW_003099520.1
chrUn_GJ058776v1	NW_003099521.1
chrUn_GJ058777v1	NW_003099522.1
chrUn_GJ058778v1	NW_003099523.1
chrUn_GJ058779v1	NW_003099524.1
chrUn_GJ058780v1	NW_003099525.1
chrUn_GJ058781v1	NW_003099526.1
chrUn_GJ058782v1	NW_003099527.1
chrUn_GJ058783v1	NW_003099528.1
chrUn_GJ058784v1	NW_003099529.1
chrUn_GJ058785v1	NW_003099530.1
chrUn_GJ058786v1	NW_003099531.1
chrUn_GJ058787v1	NW_003099532.1
chrUn_GJ058788v1	NW_003099533.1
chrUn_GJ058789v1	NW_003099534.1
chrUn_GJ058790v1	NW_003099535.1
chrUn_GJ058791v1	NW_003099536.1
chrUn_GJ058792v1	NW_003099537.1
chrUn_GJ058793v1	NW_003099538.1
chrUn_GJ058794v1	NW_003099539.1
chrUn_GJ058795v1	NW_003099540.1
chrUn_GJ058796v1	NW_003099541.1
chrUn_GJ058797v1	NW_003099542.1
chrUn_GJ058798v1	NW_003099543.1
chrUn_GJ058799v1	NW_003099544.1
chrUn_GJ058800v1	NW_003099545.1
chrUn_GJ058801v1	NW_003099546.1
chrUn_GJ058802v1	NW_003099547.1
chrUn_GJ058803v1	NW_003099548.1
chrUn_GJ058804v1	NW_003099549.1
chrUn_GJ058805v1	NW_003099550.1
chrUn_GJ058806v1	NW_003099551.1
chrUn_GJ058807v1	NW_003099552.1
chrUn_GJ058808v1	NW_003099553.1
chrUn_GJ058809v1	NW_003099554.1
chrUn_GJ058810v1	NW_003099555.1
chrUn_GJ058811v1	NW_003099556.1
chrUn_GJ058812v1	NW_003099557.1
chrUn_GJ058813v1	NW_003099558.1
chrUn_GJ058814v1	NW_003099559.1
chrUn_GJ058815v1	NW_003099560.1
chrUn_GJ058816v1	NW_003099561.1
chrUn_GJ058817v1	NW_003099562.1
chrUn_GJ058818v1	NW_003099563.1
chrUn_GJ058819v1	NW_003099564.1
chrUn_GJ058820v1	NW_003099565.1
chrUn_GJ058821v1	NW_003099566.1
chrUn_GJ058822v1	NW_003099567.1
chrUn_GJ058823v1	NW_003099568.1
chrUn_GJ058824v1	NW_003099569.1
chrUn_GJ058825v1	NW_003099570.1
chrUn_GJ058826v1	NW_003099571.1
chrUn_GJ058827v1	NW_003099572.1
chrUn_GJ058828v1	NW_003099573.1
chrUn_GJ058829v1	NW_003099574.1
chrUn_GJ058830v1	NW_003099575.1
chrUn_GJ058831v1	NW_003099576.1
chrUn_GJ058832v1	NW_003099577.1
chrUn_GJ058833v1	NW_003099578.1
chrUn_GJ058834v1	NW_003099579.1
chrUn_GJ058835v1	NW_003099580.1
chrUn_GJ058836v1	NW_003099581.1
chrUn_GJ058837v1	NW_003099582.1
chrUn_GJ058838v1	NW_003099583.1
chrUn_GJ058839v1	NW_003099584.1
chrUn_GJ058840v1	NW_003099585.1
chrUn_GJ058841v1	NW_003099586.1
chrUn_GJ058842v1	NW_003099587.1
chrUn_GJ058843v1	NW_003099588.1
chrUn_GJ058844v1	NW_003099589.1
chrUn_GJ058845v1	NW_003099590.1
chrUn_GJ058846v1	NW_003099591.1
chrUn_GJ058847v1	NW_003099592.1
chrUn_GJ058848v1	NW_003099593.1
chrUn_GJ058849v1	NW_003099594.1
chrUn_GJ058850v1	NW_003099595.1
chrUn_GJ058851v1	NW_003099596.1
chrUn_GJ058852v1	NW_003099597.1
chrUn_GJ058853v1	NW_003099598.1
chrUn_GJ058854v1	NW_003099599.1
chrUn_GJ058855v1	NW_003099600.1
chrUn_GJ058856v1	NW_003099601.1
chrUn_GJ058857v1	NW_003099602.1
chrUn_GJ058858v1	NW_003099603.1
chrUn_GJ058859v1	NW_003099604.1
chrUn_GJ058860v1	NW_003099605.1
chrUn_GJ058861v1	NW_003099606.1
chrUn_GJ058862v1	NW_003099607.1
chrUn_GJ058863v1	NW_003099608.1
chrUn_GJ058864v1	NW_003099609.1
chrUn_GJ058865v1	NW_003099610.1
chrUn_GJ058866v1	NW_003099611.1
chrUn_GJ058867v1	NW_003099612.1
chrUn_GJ058868v1	NW_003099613.1
chrUn_GJ058869v1	NW_003099614.1
chrUn_GJ058870v1	NW_003099615.1
chrUn_GJ058871v1	NW_003099616.1
chrUn_GJ058872v1	NW_003099617.1
chrUn_GJ058873v1	NW_003099618.1
chrUn_GJ058874v1	NW_003099619.1
chrUn_GJ058875v1	NW_003099620.1
chrUn_GJ058876v1	NW_003099621.1
chrUn_GJ058877v1	NW_003099622.1
chrUn_GJ058878v1	NW_003099623.1
chrUn_GJ058879v1	NW_003099624.1
chrUn_GJ058880v1	NW_003099625.1
chrUn_GJ058881v1	NW_003099626.1
chrUn_GJ058882v1	NW_003099627.1
chrUn_GJ058883v1	NW_003099628.1
chrUn_GJ058884v1	NW_003099629.1
chrUn_GJ058885v1	NW_003099630.1
chrUn_GJ058886v1	NW_003099631.1
chrUn_GJ058887v1	NW_003099632.1
chrUn_GJ058888v1	NW_003099633.1
chrUn_GJ058889v1	NW_003099634.1
chrUn_GJ058890v1	NW_003099635.1
chrUn_GJ058891v1	NW_003099636.1
chrUn_GJ058892v1	NW_003099637.1
chrUn_GJ058893v1	NW_003099638.1
chrUn_GJ058894v1	NW_003099639.1
chrUn_GJ058895v1	NW_003099640.1
chrUn_GJ058896v1	NW_003099641.1
chrUn_GJ058897v1	NW_003099642.1
chrUn_GJ058898v1	NW_003099643.1
chrUn_GJ058899v1	NW_003099644.1
chrUn_GJ058900v1	NW_003099645.1
chrUn_GJ058901v1	NW_003099646.1
chrUn_GJ058902v1	NW_003099647.1
chrUn_GJ058903v1	NW_003099648.1
chrUn_GJ058904v1	NW_003099649.1
chrUn_GJ058905v1	NW_003099650.1
chrUn_GJ058906v1	NW_003099651.1
chrUn_GJ058907v1	NW_003099652.1
chrUn_GJ058908v1	NW_003099653.1
chrUn_GJ058909v1	NW_003099654.1
chrUn_GJ058910v1	NW_003099655.1
chrUn_GJ058911v1	NW_003099656.1
chrUn_GJ058912v1	NW_003099657.1
chrUn_GJ058913v1	NW_003099658.1
chrUn_GJ058914v1	NW_003099659.1
chrUn_GJ058915v1	NW_003099660.1
chrUn_GJ058916v1	NW_003099661.1
chrUn_GJ058917v1	NW_003099662.1
chrUn_GJ058918v1	NW_003099663.1
chrUn_GJ058919v1	NW_003099664.1
chrUn_GJ058920v1	NW_003099665.1
chrUn_GJ058921v1	NW_003099666.1
chrUn_GJ058922v1	NW_003099667.1
chrUn_GJ058923v1	NW_003099668.1
chrUn_GJ058924v1	NW_003099669.1
chrUn_GJ058925v1	NW_003099670.1
chrUn_GJ058926v1	NW_003099671.1
chrUn_GJ058927v1	NW_003099672.1
chrUn_GJ058928v1	NW_003099673.1
chrUn_GJ058929v1	NW_003099674.1
chrUn_GJ058930v1	NW_003099675.1
chrUn_GJ058931v1	NW_003099676.1
chrUn_GJ058932v1	NW_003099677.1
chrUn_GJ058933v1	NW_003099678.1
chrUn_GJ058934v1	NW_003099679.1
chrUn_GJ058935v1	NW_003099680.1
chrUn_GJ058937v1	NW_003099682.1
chrUn_GJ058938v1	NW_003099683.1
chrUn_GJ058939v1	NW_003099684.1
chrUn_GJ058940v1	NW_003099685.1
chrUn_GJ058941v1	NW_003099686.1
chrUn_GJ058942v1	NW_003099687.1
chrUn_GJ058943v1	NW_003099688.1
chrUn_GJ058944v1	NW_003099689.1
chrUn_GJ058945v1	NW_003099690.1
chrUn_GJ058946v1	NW_003099691.1
chrUn_GJ058947v1	NW_003099692.1
chrUn_GJ058948v1	NW_003099693.1
chrUn_GJ058949v1	NW_003099694.1
chrUn_GJ058950v1	NW_003099695.1
chrUn_GJ058951v1	NW_003099696.1
chrUn_GJ058952v1	NW_003099697.1
chrUn_GJ058953v1	NW_003099698.1
chrUn_GJ058954v1	NW_003099699.1
chrUn_GJ058955v1	NW_003099700.1
chrUn_GJ058956v1	NW_003099701.1
chrUn_GJ058957v1	NW_003099702.1
chrUn_GJ058958v1	NW_003099703.1
chrUn_GJ058959v1	NW_003099704.1
chrUn_GJ058960v1	NW_003099705.1
chrUn_GJ058961v1	NW_003099706.1
chrUn_GJ058962v1	NW_003099707.1
chrUn_GJ058963v1	NW_003099708.1
chrUn_GJ058964v1	NW_003099709.1
chrUn_GJ058965v1	NW_003099710.1
chrUn_GJ058966v1	NW_003099711.1
chrUn_GJ058967v1	NW_003099712.1
chrUn_GJ058968v1	NW_003099713.1
chrUn_GJ058969v1	NW_003099714.1
chrUn_GJ058970v1	NW_003099715.1
chrUn_GJ058971v1	NW_003099716.1
chrUn_GJ058972v1	NW_003099717.1
chrUn_GJ058973v1	NW_003099718.1
chrUn_GJ058974v1	NW_003099719.1
chrUn_GJ058975v1	NW_003099720.1
chrUn_GJ058976v1	NW_003099721.1
chrUn_GJ058977v1	NW_003099722.1
chrUn_GJ058978v1	NW_003099723.1
chrUn_GJ058979v1	NW_003099724.1
chrUn_GJ058980v1	NW_003099725.1
chrUn_GJ058981v1	NW_003099726.1
chrUn_GJ058982v1	NW_003099727.1
chrUn_GJ058983v1	NW_003099728.1
chrUn_GJ058984v1	NW_003099729.1
chrUn_GJ058985v1	NW_003099730.1
chrUn_GJ058986v1	NW_003099731.1
chrUn_GJ058987v1	NW_003099732.1
chrUn_GJ058988v1	NW_003099733.1
chrUn_GJ058989v1	NW_003099734.1
chrUn_GJ058990v1	NW_003099735.1
chrUn_GJ058991v1	NW_003099736.1
chrUn_GJ058992v1	NW_003099737.1
chrUn_GJ058993v1	NW_003099738.1
chrUn_GJ058994v1	NW_003099739.1
chrUn_GJ058995v1	NW_003099740.1
chrUn_GJ058996v1	NW_003099741.1
chrUn_GJ058997v1	NW_003099742.1
chrUn_GJ058998v1	NW_003099743.1
chrUn_GJ058999v1	NW_003099744.1
chrUn_GJ059000v1	NW_003099745.1
chrUn_GJ059001v1	NW_003099746.1
chrUn_GJ059002v1	NW_003099747.1
chrUn_GJ059003v1	NW_003099748.1
chrUn_GJ059004v1	NW_003099749.1
chrUn_GJ059005v1	NW_003099750.1
chrUn_GJ059006v1	NW_003099751.1
chrUn_GJ059007v1	NW_003099752.1
chrUn_GJ059008v1	NW_003099753.1
chrUn_GJ059009v1	NW_003099754.1
chrUn_GJ059010v1	NW_003099755.1
chrUn_GJ059011v1	NW_003099756.1
chrUn_GJ059012v1	NW_003099757.1
chrUn_GJ059013v1	NW_003099758.1
chrUn_GJ059014v1	NW_003099759.1
chrUn_GJ059015v1	NW_003099760.1
chrUn_GJ059016v1	NW_003099761.1
chrUn_GJ059017v1	NW_003099762.1
chrUn_GJ059018v1	NW_003099763.1
chrUn_GJ059019v1	NW_003099764.1
chrUn_GJ059020v1	NW_003099765.1
chrUn_GJ059021v1	NW_003099766.1
chrUn_GJ059022v1	NW_003099767.1
chrUn_GJ059023v1	NW_003099768.1
chrUn_GJ059024v1	NW_003099769.1
chrUn_GJ059025v1	NW_003099770.1
chrUn_GJ059026v1	NW_003099771.1
chrUn_GJ059027v1	NW_003099772.1
chrUn_GJ059028v1	NW_003099773.1
chrUn_GJ059029v1	NW_003099774.1
chrUn_GJ059030v1	NW_003099775.1
chrUn_GJ059031v1	NW_003099776.1
chrUn_GJ059032v1	NW_003099777.1
chrUn_GJ059033v1	NW_003099778.1
chrUn_GJ059034v1	NW_003099779.1
chrUn_GJ059035v1	NW_003099780.1
chrUn_GJ059036v1	NW_003099781.1
chrUn_GJ059037v1	NW_003099782.1
chrUn_GJ059038v1	NW_003099783.1
chrUn_GJ059039v1	NW_003099784.1
chrUn_GJ059040v1	NW_003099785.1
chrUn_GJ059041v1	NW_003099786.1
chrUn_GJ059042v1	NW_003099787.1
chrUn_GJ059043v1	NW_003099788.1
chrUn_GJ059044v1	NW_003099789.1
chrUn_GJ059045v1	NW_003099790.1
chrUn_GJ059046v1	NW_003099791.1
chrUn_GJ059047v1	NW_003099792.1
chrUn_GJ059048v1	NW_003099793.1
chrUn_GJ059049v1	NW_003099794.1
chrUn_GJ059050v1	NW_003099795.1
chrUn_GJ059051v1	NW_003099796.1
chrUn_GJ059052v1	NW_003099797.1
chrUn_GJ059053v1	NW_003099798.1
chrUn_GJ059054v1	NW_003099799.1
chrUn_GJ059055v1	NW_003099800.1
chrUn_GJ059056v1	NW_003099801.1
chrUn_GJ059057v1	NW_003099802.1
chrUn_GJ059058v1	NW_003099803.1
chrUn_GJ059059v1	NW_003099804.1
chrUn_GJ059060v1	NW_003099805.1
chrUn_GJ059061v1	NW_003099806.1
chrUn_GJ059062v1	NW_003099807.1
chrUn_GJ059063v1	NW_003099808.1
chrUn_GJ059064v1	NW_003099809.1
chrUn_GJ059065v1	NW_003099810.1
chrUn_GJ059066v1	NW_003099811.1
chrUn_GJ059067v1	NW_003099812.1
chrUn_GJ059068v1	NW_003099813.1
chrUn_GJ059069v1	NW_003099814.1
chrUn_GJ059070v1	NW_003099815.1
chrUn_GJ059071v1	NW_003099816.1
chrUn_GJ059072v1	NW_003099817.1
chrUn_GJ059073v1	NW_003099818.1
chrUn_GJ059074v1	NW_003099819.1
chrUn_GJ059075v1	NW_003099820.1
chrUn_GJ059076v1	NW_003099821.1
chrUn_GJ059077v1	NW_003099822.1
chrUn_GJ059078v1	NW_003099823.1
chrUn_GJ059079v1	NW_003099824.1
chrUn_GJ059080v1	NW_003099825.1
chrUn_GJ059081v1	NW_003099826.1
chrUn_GJ059082v1	NW_003099827.1
chrUn_GJ059083v1	NW_003099828.1
chrUn_GJ059084v1	NW_003099829.1
chrUn_GJ059085v1	NW_003099830.1
chrUn_GJ059086v1	NW_003099831.1
chrUn_GJ059087v1	NW_003099832.1
chrUn_GJ059088v1	NW_003099833.1
chrUn_GJ059089v1	NW_003099834.1
chrUn_GJ059090v1	NW_003099835.1
chrUn_GJ059091v1	NW_003099836.1
chrUn_GJ059092v1	NW_003099837.1
chrUn_GJ059093v1	NW_003099838.1
chrUn_GJ059094v1	NW_003099839.1
chrUn_GJ059095v1	NW_003099840.1
chrUn_GJ059096v1	NW_003099841.1
chrUn_GJ059097v1	NW_003099842.1
chrUn_GJ059098v1	NW_003099843.1
chrUn_GJ059099v1	NW_003099844.1
chrUn_GJ059100v1	NW_003099845.1
chrUn_GJ059101v1	NW_003099846.1
chrUn_GJ059102v1	NW_003099847.1
chrUn_GJ059103v1	NW_003099848.1
chrUn_GJ059104v1	NW_003099849.1
chrUn_GJ059105v1	NW_003099850.1
chrUn_GJ059106v1	NW_003099851.1
chrUn_GJ059107v1	NW_003099852.1
chrUn_GJ059108v1	NW_003099853.1
chrUn_GJ059109v1	NW_003099854.1
chrUn_GJ059110v1	NW_003099855.1
chrUn_GJ059111v1	NW_003099856.1
chrUn_GJ059112v1	NW_003099857.1
chrUn_GJ059113v1	NW_003099858.1
chrUn_GJ059114v1	NW_003099859.1
chrUn_GJ059115v1	NW_003099860.1
chrUn_GJ059116v1	NW_003099861.1
chrUn_GJ059117v1	NW_003099862.1
chrUn_GJ059118v1	NW_003099863.1
chrUn_GJ059119v1	NW_003099864.1
chrUn_GJ059120v1	NW_003099865.1
chrUn_GJ059121v1	NW_003099866.1
chrUn_GJ059122v1	NW_003099867.1
chrUn_GJ059123v1	NW_003099868.1
chrUn_GJ059124v1	NW_003099869.1
chrUn_GJ059125v1	NW_003099870.1
chrUn_GJ059126v1	NW_003099871.1
chrUn_GJ059127v1	NW_003099872.1
chrUn_GJ059128v1	NW_003099873.1
chrUn_GJ059129v1	NW_003099874.1
chrUn_GJ059130v1	NW_003099875.1
chrUn_GJ059131v1	NW_003099876.1
chrUn_GJ059132v1	NW_003099877.1
chrUn_GJ059133v1	NW_003099878.1
chrUn_GJ059134v1	NW_003099879.1
chrUn_GJ059135v1	NW_003099880.1
chrUn_GJ059136v1	NW_003099881.1
chrUn_GJ059137v1	NW_003099882.1
chrUn_GJ059138v1	NW_003099883.1
chrUn_GJ059139v1	NW_003099884.1
chrUn_GJ059140v1	NW_003099885.1
chrUn_GJ059141v1	NW_003099886.1
chrUn_GJ059142v1	NW_003099887.1
chrUn_GJ059143v1	NW_003099888.1
chrUn_GJ059144v1	NW_003099889.1
chrUn_GJ059145v1	NW_003099890.1
chrUn_GJ059146v1	NW_003099891.1
