TfName,GeneName,Family,UniProt,Source,TaxGroup,Species
OTX2_HUMAN.H11MO.0.A,OTX2,Paired-related HD factors,P32243,ChIP-Seq,vertebrates,Homo sapiens
OVOL1_HUMAN.H11MO.0.C,OVOL1,More than 3 adjacent zinc finger factors,O14753,Integrative,vertebrates,Homo sapiens
OVOL2_HUMAN.H11MO.0.D,OVOL2,More than 3 adjacent zinc finger factors,Q9BRP0,ChIP-Seq,vertebrates,Homo sapiens
OZF_HUMAN.H11MO.0.C,ZNF146,More than 3 adjacent zinc finger factors,Q15072,ChIP-Seq,vertebrates,Homo sapiens
P53_HUMAN.H11MO.0.A,TP53,p53-related factors,P04637,ChIP-Seq,vertebrates,Homo sapiens
P53_HUMAN.H11MO.1.A,TP53,p53-related factors,P04637,ChIP-Seq,vertebrates,Homo sapiens
P5F1B_HUMAN.H11MO.0.D,POU5F1B,POU domain factors,Q06416,HT-SELEX,vertebrates,Homo sapiens
P63_HUMAN.H11MO.0.A,TP63,p53-related factors,Q9H3D4,ChIP-Seq,vertebrates,Homo sapiens
P63_HUMAN.H11MO.1.A,TP63,p53-related factors,Q9H3D4,ChIP-Seq,vertebrates,Homo sapiens
P73_HUMAN.H11MO.0.A,TP73,p53-related factors,O15350,ChIP-Seq,vertebrates,Homo sapiens
P73_HUMAN.H11MO.1.A,TP73,p53-related factors,O15350,ChIP-Seq,vertebrates,Homo sapiens
PATZ1_HUMAN.H11MO.0.C,PATZ1,Factors with multiple dispersed zinc fingers,Q9HBE1,ChIP-Seq,vertebrates,Homo sapiens
PATZ1_HUMAN.H11MO.1.C,PATZ1,Factors with multiple dispersed zinc fingers,Q9HBE1,ChIP-Seq,vertebrates,Homo sapiens
PAX1_HUMAN.H11MO.0.D,PAX1,Paired domain only,P15863,HT-SELEX,vertebrates,Homo sapiens
PAX2_HUMAN.H11MO.0.D,PAX2,Paired domain only,Q02962,Integrative,vertebrates,Homo sapiens
PAX3_HUMAN.H11MO.0.D,PAX3,Paired plus homeo domain,P23760,HT-SELEX,vertebrates,Homo sapiens
PAX4_HUMAN.H11MO.0.D,PAX4,Paired plus homeo domain,O43316,HT-SELEX,vertebrates,Homo sapiens
PAX5_HUMAN.H11MO.0.A,PAX5,Paired domain only,Q02548,ChIP-Seq,vertebrates,Homo sapiens
PAX6_HUMAN.H11MO.0.C,PAX6,Paired plus homeo domain,P26367,ChIP-Seq,vertebrates,Homo sapiens
PAX7_HUMAN.H11MO.0.D,PAX7,Paired plus homeo domain,P23759,HT-SELEX,vertebrates,Homo sapiens
PAX8_HUMAN.H11MO.0.D,PAX8,Paired domain only,Q06710,Integrative,vertebrates,Homo sapiens
PBX1_HUMAN.H11MO.0.A,PBX1,TALE-type homeo domain factors,P40424,ChIP-Seq,vertebrates,Homo sapiens
PBX1_HUMAN.H11MO.1.C,PBX1,TALE-type homeo domain factors,P40424,Integrative,vertebrates,Homo sapiens
PBX2_HUMAN.H11MO.0.C,PBX2,TALE-type homeo domain factors,P40425,Integrative,vertebrates,Homo sapiens
PBX3_HUMAN.H11MO.0.A,PBX3,TALE-type homeo domain factors,P40426,ChIP-Seq,vertebrates,Homo sapiens
PBX3_HUMAN.H11MO.1.A,PBX3,TALE-type homeo domain factors,P40426,ChIP-Seq,vertebrates,Homo sapiens
PDX1_HUMAN.H11MO.0.A,PDX1,HOX-related factors,P52945,ChIP-Seq,vertebrates,Homo sapiens
PDX1_HUMAN.H11MO.1.A,PDX1,HOX-related factors,P52945,ChIP-Seq,vertebrates,Homo sapiens
PEBB_HUMAN.H11MO.0.C,CBFB,,Q13951,Integrative,vertebrates,Homo sapiens
PHX2A_HUMAN.H11MO.0.D,PHOX2A,Paired-related HD factors,O14813,HT-SELEX,vertebrates,Homo sapiens
PHX2B_HUMAN.H11MO.0.D,PHOX2B,Paired-related HD factors,Q99453,HT-SELEX,vertebrates,Homo sapiens
PIT1_HUMAN.H11MO.0.C,POU1F1,POU domain factors,P28069,Integrative,vertebrates,Homo sapiens
PITX1_HUMAN.H11MO.0.D,PITX1,Paired-related HD factors,P78337,ChIP-Seq,vertebrates,Homo sapiens
PITX2_HUMAN.H11MO.0.D,PITX2,Paired-related HD factors,Q99697,Integrative,vertebrates,Homo sapiens
PITX3_HUMAN.H11MO.0.D,PITX3,Paired-related HD factors,O75364,HT-SELEX,vertebrates,Homo sapiens
PKNX1_HUMAN.H11MO.0.B,PKNOX1,TALE-type homeo domain factors,P55347,ChIP-Seq,vertebrates,Homo sapiens
PLAG1_HUMAN.H11MO.0.D,PLAG1,More than 3 adjacent zinc finger factors,Q6DJT9,Integrative,vertebrates,Homo sapiens
PLAL1_HUMAN.H11MO.0.D,PLAGL1,More than 3 adjacent zinc finger factors,Q9UM63,Integrative,vertebrates,Homo sapiens
PO2F1_HUMAN.H11MO.0.C,POU2F1,POU domain factors,P14859,ChIP-Seq,vertebrates,Homo sapiens
PO2F2_HUMAN.H11MO.0.A,POU2F2,POU domain factors,P09086,ChIP-Seq,vertebrates,Homo sapiens
PO2F3_HUMAN.H11MO.0.D,POU2F3,POU domain factors,Q9UKI9,HT-SELEX,vertebrates,Homo sapiens
PO3F1_HUMAN.H11MO.0.C,POU3F1,POU domain factors,Q03052,Integrative,vertebrates,Homo sapiens
PO3F2_HUMAN.H11MO.0.A,POU3F2,POU domain factors,P20265,ChIP-Seq,vertebrates,Homo sapiens
PO3F3_HUMAN.H11MO.0.D,POU3F3,POU domain factors,P20264,HT-SELEX,vertebrates,Homo sapiens
PO3F4_HUMAN.H11MO.0.D,POU3F4,POU domain factors,P49335,HT-SELEX,vertebrates,Homo sapiens
PO4F1_HUMAN.H11MO.0.D,POU4F1,POU domain factors,Q01851,HT-SELEX,vertebrates,Homo sapiens
PO4F2_HUMAN.H11MO.0.D,POU4F2,POU domain factors,Q12837,Integrative,vertebrates,Homo sapiens
PO4F3_HUMAN.H11MO.0.D,POU4F3,POU domain factors,Q15319,HT-SELEX,vertebrates,Homo sapiens
PO5F1_HUMAN.H11MO.0.A,POU5F1,POU domain factors,Q01860,ChIP-Seq,vertebrates,Homo sapiens
PO5F1_HUMAN.H11MO.1.A,POU5F1,POU domain factors,Q01860,ChIP-Seq,vertebrates,Homo sapiens
PO6F1_HUMAN.H11MO.0.D,POU6F1,POU domain factors,Q14863,Integrative,vertebrates,Homo sapiens
PO6F2_HUMAN.H11MO.0.D,POU6F2,POU domain factors,P78424,HT-SELEX,vertebrates,Homo sapiens
PPARA_HUMAN.H11MO.0.B,PPARA,Thyroid hormone receptor-related factors (NR1),Q07869,ChIP-Seq,vertebrates,Homo sapiens
PPARA_HUMAN.H11MO.1.B,PPARA,Thyroid hormone receptor-related factors (NR1),Q07869,ChIP-Seq,vertebrates,Homo sapiens
PPARD_HUMAN.H11MO.0.D,PPARD,Thyroid hormone receptor-related factors (NR1),Q03181,Integrative,vertebrates,Homo sapiens
PPARG_HUMAN.H11MO.0.A,PPARG,Thyroid hormone receptor-related factors (NR1),P37231,ChIP-Seq,vertebrates,Homo sapiens
PPARG_HUMAN.H11MO.1.A,PPARG,Thyroid hormone receptor-related factors (NR1),P37231,ChIP-Seq,vertebrates,Homo sapiens
PRD14_HUMAN.H11MO.0.A,PRDM14,More than 3 adjacent zinc finger factors,Q9GZV8,ChIP-Seq,vertebrates,Homo sapiens
PRDM1_HUMAN.H11MO.0.A,PRDM1,More than 3 adjacent zinc finger factors,O75626,ChIP-Seq,vertebrates,Homo sapiens
PRDM4_HUMAN.H11MO.0.D,PRDM4,Factors with multiple dispersed zinc fingers,Q9UKN5,HT-SELEX,vertebrates,Homo sapiens
PRDM6_HUMAN.H11MO.0.C,PRDM6,More than 3 adjacent zinc finger factors,Q9NQX0,ChIP-Seq,vertebrates,Homo sapiens
PRGR_HUMAN.H11MO.0.A,PGR,Steroid hormone receptors (NR3),P06401,ChIP-Seq,vertebrates,Homo sapiens
PRGR_HUMAN.H11MO.1.A,PGR,Steroid hormone receptors (NR3),P06401,ChIP-Seq,vertebrates,Homo sapiens
PROP1_HUMAN.H11MO.0.D,PROP1,Paired-related HD factors,O75360,ChIP-Seq,vertebrates,Homo sapiens
PROX1_HUMAN.H11MO.0.D,PROX1,HD-PROS factors,Q92786,HT-SELEX,vertebrates,Homo sapiens
PRRX1_HUMAN.H11MO.0.D,PRRX1,Paired-related HD factors,P54821,Integrative,vertebrates,Homo sapiens
PRRX2_HUMAN.H11MO.0.C,PRRX2,Paired-related HD factors,Q99811,Integrative,vertebrates,Homo sapiens
PTF1A_HUMAN.H11MO.0.B,PTF1A,Tal-related factors,Q7RTS3,ChIP-Seq,vertebrates,Homo sapiens
PTF1A_HUMAN.H11MO.1.B,PTF1A,Tal-related factors,Q7RTS3,ChIP-Seq,vertebrates,Homo sapiens
PURA_HUMAN.H11MO.0.D,PURA,PUR,Q00577,Integrative,vertebrates,Homo sapiens
RARA_HUMAN.H11MO.0.A,RARA,Thyroid hormone receptor-related factors (NR1),P10276,ChIP-Seq,vertebrates,Homo sapiens
RARA_HUMAN.H11MO.1.A,RARA,Thyroid hormone receptor-related factors (NR1),P10276,ChIP-Seq,vertebrates,Homo sapiens
RARA_HUMAN.H11MO.2.A,RARA,Thyroid hormone receptor-related factors (NR1),P10276,Integrative,vertebrates,Homo sapiens
RARB_HUMAN.H11MO.0.D,RARB,Thyroid hormone receptor-related factors (NR1),P10826,Integrative,vertebrates,Homo sapiens
RARG_HUMAN.H11MO.0.B,RARG,Thyroid hormone receptor-related factors (NR1),P13631,ChIP-Seq,vertebrates,Homo sapiens
RARG_HUMAN.H11MO.1.B,RARG,Thyroid hormone receptor-related factors (NR1),P13631,ChIP-Seq,vertebrates,Homo sapiens
RARG_HUMAN.H11MO.2.D,RARG,Thyroid hormone receptor-related factors (NR1),P13631,Integrative,vertebrates,Homo sapiens
RAX2_HUMAN.H11MO.0.D,RAX2,Paired-related HD factors,Q96IS3,HT-SELEX,vertebrates,Homo sapiens
RELB_HUMAN.H11MO.0.C,RELB,NF-kappaB-related factors,Q01201,Integrative,vertebrates,Homo sapiens
REL_HUMAN.H11MO.0.B,REL,NF-kappaB-related factors,Q04864,ChIP-Seq,vertebrates,Homo sapiens
REST_HUMAN.H11MO.0.A,REST,Factors with multiple dispersed zinc fingers,Q13127,ChIP-Seq,vertebrates,Homo sapiens
RFX1_HUMAN.H11MO.0.B,RFX1,RFX-related factors,P22670,ChIP-Seq,vertebrates,Homo sapiens
RFX1_HUMAN.H11MO.1.B,RFX1,RFX-related factors,P22670,ChIP-Seq,vertebrates,Homo sapiens
RFX2_HUMAN.H11MO.0.A,RFX2,RFX-related factors,P48378,ChIP-Seq,vertebrates,Homo sapiens
RFX2_HUMAN.H11MO.1.A,RFX2,RFX-related factors,P48378,ChIP-Seq,vertebrates,Homo sapiens
RFX3_HUMAN.H11MO.0.B,RFX3,RFX-related factors,P48380,Integrative,vertebrates,Homo sapiens
RFX4_HUMAN.H11MO.0.D,RFX4,RFX-related factors,Q33E94,HT-SELEX,vertebrates,Homo sapiens
RFX5_HUMAN.H11MO.0.A,RFX5,RFX-related factors,P48382,ChIP-Seq,vertebrates,Homo sapiens
RFX5_HUMAN.H11MO.1.A,RFX5,RFX-related factors,P48382,ChIP-Seq,vertebrates,Homo sapiens
RHXF1_HUMAN.H11MO.0.D,RHOXF1,Paired-related HD factors,Q8NHV9,HT-SELEX,vertebrates,Homo sapiens
RORA_HUMAN.H11MO.0.C,RORA,Thyroid hormone receptor-related factors (NR1),P35398,ChIP-Seq,vertebrates,Homo sapiens
RORG_HUMAN.H11MO.0.C,RORC,Thyroid hormone receptor-related factors (NR1),P51449,ChIP-Seq,vertebrates,Homo sapiens
RREB1_HUMAN.H11MO.0.D,RREB1,Factors with multiple dispersed zinc fingers,Q92766,Integrative,vertebrates,Homo sapiens
RUNX1_HUMAN.H11MO.0.A,RUNX1,Runt-related factors,Q01196,ChIP-Seq,vertebrates,Homo sapiens
RUNX2_HUMAN.H11MO.0.A,RUNX2,Runt-related factors,Q13950,ChIP-Seq,vertebrates,Homo sapiens
RUNX3_HUMAN.H11MO.0.A,RUNX3,Runt-related factors,Q13761,ChIP-Seq,vertebrates,Homo sapiens
RXRA_HUMAN.H11MO.0.A,RXRA,RXR-related receptors (NR2),P19793,ChIP-Seq,vertebrates,Homo sapiens
RXRA_HUMAN.H11MO.1.A,RXRA,RXR-related receptors (NR2),P19793,ChIP-Seq,vertebrates,Homo sapiens
RXRB_HUMAN.H11MO.0.C,RXRB,RXR-related receptors (NR2),P28702,Integrative,vertebrates,Homo sapiens
RXRG_HUMAN.H11MO.0.B,RXRG,RXR-related receptors (NR2),P48443,Integrative,vertebrates,Homo sapiens
RX_HUMAN.H11MO.0.D,RAX,Paired-related HD factors,Q9Y2V3,HT-SELEX,vertebrates,Homo sapiens
SALL4_HUMAN.H11MO.0.B,SALL4,Factors with multiple dispersed zinc fingers,Q9UJQ4,ChIP-Seq,vertebrates,Homo sapiens
SCRT1_HUMAN.H11MO.0.D,SCRT1,More than 3 adjacent zinc finger factors,Q9BWW7,HT-SELEX,vertebrates,Homo sapiens
SCRT2_HUMAN.H11MO.0.D,SCRT2,More than 3 adjacent zinc finger factors,Q9NQ03,HT-SELEX,vertebrates,Homo sapiens
SHOX2_HUMAN.H11MO.0.D,SHOX2,Paired-related HD factors,O60902,HT-SELEX,vertebrates,Homo sapiens
SHOX_HUMAN.H11MO.0.D,SHOX,Paired-related HD factors,O15266,HT-SELEX,vertebrates,Homo sapiens
SIX1_HUMAN.H11MO.0.A,SIX1,HD-SINE factors,Q15475,ChIP-Seq,vertebrates,Homo sapiens
SIX2_HUMAN.H11MO.0.A,SIX2,HD-SINE factors,Q9NPC8,ChIP-Seq,vertebrates,Homo sapiens
SMAD1_HUMAN.H11MO.0.D,SMAD1,SMAD factors,Q15797,Integrative,vertebrates,Homo sapiens
SMAD2_HUMAN.H11MO.0.A,SMAD2,SMAD factors,Q15796,ChIP-Seq,vertebrates,Homo sapiens
SMAD3_HUMAN.H11MO.0.B,SMAD3,SMAD factors,P84022,ChIP-Seq,vertebrates,Homo sapiens
SMAD4_HUMAN.H11MO.0.B,SMAD4,SMAD factors,Q13485,ChIP-Seq,vertebrates,Homo sapiens
SMCA1_HUMAN.H11MO.0.C,SMARCA1,Myb/SANT domain factors,P28370,ChIP-Seq,vertebrates,Homo sapiens
SMCA5_HUMAN.H11MO.0.C,SMARCA5,Myb/SANT domain factors,O60264,ChIP-Seq,vertebrates,Homo sapiens
SNAI1_HUMAN.H11MO.0.C,SNAI1,More than 3 adjacent zinc finger factors,O95863,Integrative,vertebrates,Homo sapiens
SNAI2_HUMAN.H11MO.0.A,SNAI2,More than 3 adjacent zinc finger factors,O43623,ChIP-Seq,vertebrates,Homo sapiens
SOX10_HUMAN.H11MO.0.B,SOX10,SOX-related factors,P56693,ChIP-Seq,vertebrates,Homo sapiens
SOX10_HUMAN.H11MO.1.A,SOX10,SOX-related factors,P56693,ChIP-Seq,vertebrates,Homo sapiens
SOX11_HUMAN.H11MO.0.D,SOX11,SOX-related factors,P35716,HT-SELEX,vertebrates,Homo sapiens
SOX13_HUMAN.H11MO.0.D,SOX13,SOX-related factors,Q9UN79,Integrative,vertebrates,Homo sapiens
SOX15_HUMAN.H11MO.0.D,SOX15,SOX-related factors,O60248,Integrative,vertebrates,Homo sapiens
SOX17_HUMAN.H11MO.0.C,SOX17,SOX-related factors,Q9H6I2,ChIP-Seq,vertebrates,Homo sapiens
SOX18_HUMAN.H11MO.0.D,SOX18,SOX-related factors,P35713,Integrative,vertebrates,Homo sapiens
SOX1_HUMAN.H11MO.0.D,SOX1,SOX-related factors,O00570,HT-SELEX,vertebrates,Homo sapiens
SOX21_HUMAN.H11MO.0.D,SOX21,SOX-related factors,Q9Y651,HT-SELEX,vertebrates,Homo sapiens
SOX2_HUMAN.H11MO.0.A,SOX2,SOX-related factors,P48431,ChIP-Seq,vertebrates,Homo sapiens
SOX2_HUMAN.H11MO.1.A,SOX2,SOX-related factors,P48431,ChIP-Seq,vertebrates,Homo sapiens
SOX3_HUMAN.H11MO.0.B,SOX3,SOX-related factors,P41225,ChIP-Seq,vertebrates,Homo sapiens
SOX4_HUMAN.H11MO.0.B,SOX4,SOX-related factors,Q06945,ChIP-Seq,vertebrates,Homo sapiens
SOX5_HUMAN.H11MO.0.C,SOX5,SOX-related factors,P35711,Integrative,vertebrates,Homo sapiens
SOX7_HUMAN.H11MO.0.D,SOX7,SOX-related factors,Q9BT81,HT-SELEX,vertebrates,Homo sapiens
SOX8_HUMAN.H11MO.0.D,SOX8,SOX-related factors,P57073,HT-SELEX,vertebrates,Homo sapiens
SOX9_HUMAN.H11MO.0.B,SOX9,SOX-related factors,P48436,ChIP-Seq,vertebrates,Homo sapiens
SOX9_HUMAN.H11MO.1.B,SOX9,SOX-related factors,P48436,ChIP-Seq,vertebrates,Homo sapiens
SP1_HUMAN.H11MO.0.A,SP1,Three-zinc finger Krüppel-related factors,P08047,ChIP-Seq,vertebrates,Homo sapiens
SP1_HUMAN.H11MO.1.A,SP1,Three-zinc finger Krüppel-related factors,P08047,ChIP-Seq,vertebrates,Homo sapiens
SP2_HUMAN.H11MO.0.A,SP2,Three-zinc finger Krüppel-related factors,Q02086,ChIP-Seq,vertebrates,Homo sapiens
SP2_HUMAN.H11MO.1.B,SP2,Three-zinc finger Krüppel-related factors,Q02086,ChIP-Seq,vertebrates,Homo sapiens
SP3_HUMAN.H11MO.0.B,SP3,Three-zinc finger Krüppel-related factors,Q02447,Integrative,vertebrates,Homo sapiens
SP4_HUMAN.H11MO.0.A,SP4,Three-zinc finger Krüppel-related factors,Q02446,ChIP-Seq,vertebrates,Homo sapiens
SP4_HUMAN.H11MO.1.A,SP4,Three-zinc finger Krüppel-related factors,Q02446,ChIP-Seq,vertebrates,Homo sapiens
SPDEF_HUMAN.H11MO.0.D,SPDEF,Ets-related factors,O95238,HT-SELEX,vertebrates,Homo sapiens
SPI1_HUMAN.H11MO.0.A,SPI1,Ets-related factors,P17947,ChIP-Seq,vertebrates,Homo sapiens
SPIB_HUMAN.H11MO.0.A,SPIB,Ets-related factors,Q01892,ChIP-Seq,vertebrates,Homo sapiens
SPIC_HUMAN.H11MO.0.D,SPIC,Ets-related factors,Q8N5J4,HT-SELEX,vertebrates,Homo sapiens
SPZ1_HUMAN.H11MO.0.D,SPZ1,,Q9BXG8,Integrative,vertebrates,Homo sapiens
SRBP1_HUMAN.H11MO.0.A,SREBF1,bHLH-ZIP factors,P36956,ChIP-Seq,vertebrates,Homo sapiens
SRBP2_HUMAN.H11MO.0.B,SREBF2,bHLH-ZIP factors,Q12772,Integrative,vertebrates,Homo sapiens
SRF_HUMAN.H11MO.0.A,SRF,Responders to external signals (SRF/RLM1),P11831,ChIP-Seq,vertebrates,Homo sapiens
SRY_HUMAN.H11MO.0.B,SRY,SOX-related factors,Q05066,Integrative,vertebrates,Homo sapiens
STA5A_HUMAN.H11MO.0.A,STAT5A,STAT factors,P42229,ChIP-Seq,vertebrates,Homo sapiens
STA5B_HUMAN.H11MO.0.A,STAT5B,STAT factors,P51692,ChIP-Seq,vertebrates,Homo sapiens
STAT1_HUMAN.H11MO.0.A,STAT1,STAT factors,P42224,ChIP-Seq,vertebrates,Homo sapiens
STAT1_HUMAN.H11MO.1.A,STAT1,STAT factors,P42224,ChIP-Seq,vertebrates,Homo sapiens
STAT2_HUMAN.H11MO.0.A,STAT2,STAT factors,P52630,ChIP-Seq,vertebrates,Homo sapiens
STAT3_HUMAN.H11MO.0.A,STAT3,STAT factors,P40763,ChIP-Seq,vertebrates,Homo sapiens
STAT4_HUMAN.H11MO.0.A,STAT4,STAT factors,Q14765,ChIP-Seq,vertebrates,Homo sapiens
STAT6_HUMAN.H11MO.0.B,STAT6,STAT factors,P42226,ChIP-Seq,vertebrates,Homo sapiens
STF1_HUMAN.H11MO.0.B,NR5A1,FTZ-F1-related receptors (NR5),Q13285,ChIP-Seq,vertebrates,Homo sapiens
SUH_HUMAN.H11MO.0.A,RBPJ,CSL-related factors,Q06330,ChIP-Seq,vertebrates,Homo sapiens
TAF1_HUMAN.H11MO.0.A,TAF1,TCF-7-related factors,P21675,ChIP-Seq,vertebrates,Homo sapiens
TAL1_HUMAN.H11MO.0.A,TAL1,Tal-related factors,P17542,ChIP-Seq,vertebrates,Homo sapiens
TAL1_HUMAN.H11MO.1.A,TAL1,Tal-related factors,P17542,ChIP-Seq,vertebrates,Homo sapiens
TBP_HUMAN.H11MO.0.A,TBP,TBP-related factors,P20226,ChIP-Seq,vertebrates,Homo sapiens
TBR1_HUMAN.H11MO.0.D,TBR1,TBrain-related factors,Q16650,HT-SELEX,vertebrates,Homo sapiens
TBX15_HUMAN.H11MO.0.D,TBX15,TBX1-related factors,Q96SF7,HT-SELEX,vertebrates,Homo sapiens
TBX19_HUMAN.H11MO.0.D,TBX19,Brachyury-related factors,O60806,HT-SELEX,vertebrates,Homo sapiens
TBX1_HUMAN.H11MO.0.D,TBX1,TBX1-related factors,O43435,HT-SELEX,vertebrates,Homo sapiens
TBX20_HUMAN.H11MO.0.D,TBX20,TBX1-related factors,Q9UMR3,ChIP-Seq,vertebrates,Homo sapiens
TBX21_HUMAN.H11MO.0.A,TBX21,TBrain-related factors,Q9UL17,ChIP-Seq,vertebrates,Homo sapiens
TBX2_HUMAN.H11MO.0.D,TBX2,TBX2-related factors,Q13207,Integrative,vertebrates,Homo sapiens
TBX3_HUMAN.H11MO.0.C,TBX3,TBX2-related factors,O15119,ChIP-Seq,vertebrates,Homo sapiens
TBX4_HUMAN.H11MO.0.D,TBX4,TBX2-related factors,P57082,HT-SELEX,vertebrates,Homo sapiens
TBX5_HUMAN.H11MO.0.D,TBX5,TBX2-related factors,Q99593,Integrative,vertebrates,Homo sapiens
TCF7_HUMAN.H11MO.0.A,TCF7,TCF-7-related factors,P36402,ChIP-Seq,vertebrates,Homo sapiens
TEAD1_HUMAN.H11MO.0.A,TEAD1,TEF-1-related factors,P28347,ChIP-Seq,vertebrates,Homo sapiens
TEAD2_HUMAN.H11MO.0.D,TEAD2,TEF-1-related factors,Q15562,ChIP-Seq,vertebrates,Homo sapiens
TEAD3_HUMAN.H11MO.0.D,TEAD3,TEF-1-related factors,Q99594,Integrative,vertebrates,Homo sapiens
TEAD4_HUMAN.H11MO.0.A,TEAD4,TEF-1-related factors,Q15561,ChIP-Seq,vertebrates,Homo sapiens
TEF_HUMAN.H11MO.0.D,TEF,C/EBP-related,Q10587,Integrative,vertebrates,Homo sapiens
TF2LX_HUMAN.H11MO.0.D,TGIF2LX,TALE-type homeo domain factors,Q8IUE1,HT-SELEX,vertebrates,Homo sapiens
TF65_HUMAN.H11MO.0.A,RELA,NF-kappaB-related factors,Q04206,ChIP-Seq,vertebrates,Homo sapiens
TF7L1_HUMAN.H11MO.0.B,TCF7L1,TCF-7-related factors,Q9HCS4,ChIP-Seq,vertebrates,Homo sapiens
TF7L2_HUMAN.H11MO.0.A,TCF7L2,TCF-7-related factors,Q9NQB0,ChIP-Seq,vertebrates,Homo sapiens
TFAP4_HUMAN.H11MO.0.A,TFAP4,bHLH-ZIP factors,Q01664,ChIP-Seq,vertebrates,Homo sapiens
TFCP2_HUMAN.H11MO.0.D,TFCP2,CP2-related factors,Q12800,Integrative,vertebrates,Homo sapiens
TFDP1_HUMAN.H11MO.0.C,TFDP1,E2F-related factors,Q14186,ChIP-Seq,vertebrates,Homo sapiens
TFE2_HUMAN.H11MO.0.A,TCF3,E2A-related factors,P15923,ChIP-Seq,vertebrates,Homo sapiens
TFE3_HUMAN.H11MO.0.B,TFE3,bHLH-ZIP factors,P19532,ChIP-Seq,vertebrates,Homo sapiens
TFEB_HUMAN.H11MO.0.C,TFEB,bHLH-ZIP factors,P19484,Integrative,vertebrates,Homo sapiens
TGIF1_HUMAN.H11MO.0.A,TGIF1,TALE-type homeo domain factors,Q15583,ChIP-Seq,vertebrates,Homo sapiens
TGIF2_HUMAN.H11MO.0.D,TGIF2,TALE-type homeo domain factors,Q9GZN2,HT-SELEX,vertebrates,Homo sapiens
THA11_HUMAN.H11MO.0.B,THAP11,THAP-related factors,Q96EK4,ChIP-Seq,vertebrates,Homo sapiens
THAP1_HUMAN.H11MO.0.C,THAP1,THAP-related factors,Q9NVV9,ChIP-Seq,vertebrates,Homo sapiens
THA_HUMAN.H11MO.0.C,THRA,Thyroid hormone receptor-related factors (NR1),P10827,Integrative,vertebrates,Homo sapiens
THA_HUMAN.H11MO.1.D,THRA,Thyroid hormone receptor-related factors (NR1),P10827,Integrative,vertebrates,Homo sapiens
THB_HUMAN.H11MO.0.C,THRB,Thyroid hormone receptor-related factors (NR1),P10828,Integrative,vertebrates,Homo sapiens
THB_HUMAN.H11MO.1.D,THRB,Thyroid hormone receptor-related factors (NR1),P10828,Integrative,vertebrates,Homo sapiens
TLX1_HUMAN.H11MO.0.D,TLX1,NK-related factors,P31314,Integrative,vertebrates,Homo sapiens
TWST1_HUMAN.H11MO.0.A,TWIST1,Tal-related factors,Q15672,ChIP-Seq,vertebrates,Homo sapiens
TWST1_HUMAN.H11MO.1.A,TWIST1,Tal-related factors,Q15672,ChIP-Seq,vertebrates,Homo sapiens
TYY1_HUMAN.H11MO.0.A,YY1,More than 3 adjacent zinc finger factors,P25490,ChIP-Seq,vertebrates,Homo sapiens
TYY2_HUMAN.H11MO.0.D,YY2,More than 3 adjacent zinc finger factors,O15391,HT-SELEX,vertebrates,Homo sapiens
UBIP1_HUMAN.H11MO.0.D,UBP1,CP2-related factors,Q9NZI7,Integrative,vertebrates,Homo sapiens
UNC4_HUMAN.H11MO.0.D,UNCX,Paired-related HD factors,A6NJT0,HT-SELEX,vertebrates,Homo sapiens
USF1_HUMAN.H11MO.0.A,USF1,bHLH-ZIP factors,P22415,ChIP-Seq,vertebrates,Homo sapiens
USF2_HUMAN.H11MO.0.A,USF2,bHLH-ZIP factors,Q15853,ChIP-Seq,vertebrates,Homo sapiens
VAX1_HUMAN.H11MO.0.D,VAX1,NK-related factors,Q5SQQ9,HT-SELEX,vertebrates,Homo sapiens
VAX2_HUMAN.H11MO.0.D,VAX2,NK-related factors,Q9UIW0,HT-SELEX,vertebrates,Homo sapiens
VDR_HUMAN.H11MO.0.A,VDR,Thyroid hormone receptor-related factors (NR1),P11473,ChIP-Seq,vertebrates,Homo sapiens
VDR_HUMAN.H11MO.1.A,VDR,Thyroid hormone receptor-related factors (NR1),P11473,ChIP-Seq,vertebrates,Homo sapiens
VENTX_HUMAN.H11MO.0.D,VENTX,NK-related factors,O95231,HT-SELEX,vertebrates,Homo sapiens
VEZF1_HUMAN.H11MO.0.C,VEZF1,Factors with multiple dispersed zinc fingers,Q14119,ChIP-Seq,vertebrates,Homo sapiens
VEZF1_HUMAN.H11MO.1.C,VEZF1,Factors with multiple dispersed zinc fingers,Q14119,ChIP-Seq,vertebrates,Homo sapiens
VSX1_HUMAN.H11MO.0.D,VSX1,Paired-related HD factors,Q9NZR4,HT-SELEX,vertebrates,Homo sapiens
VSX2_HUMAN.H11MO.0.D,VSX2,Paired-related HD factors,P58304,ChIP-Seq,vertebrates,Homo sapiens
WT1_HUMAN.H11MO.0.C,WT1,More than 3 adjacent zinc finger factors,P19544,ChIP-Seq,vertebrates,Homo sapiens
WT1_HUMAN.H11MO.1.B,WT1,More than 3 adjacent zinc finger factors,P19544,ChIP-Seq,vertebrates,Homo sapiens
XBP1_HUMAN.H11MO.0.D,XBP1,XBP-1-related factors,P17861,ChIP-Seq,vertebrates,Homo sapiens
Z324A_HUMAN.H11MO.0.C,ZNF324,More than 3 adjacent zinc finger factors,O75467,ChIP-Seq,vertebrates,Homo sapiens
